province,day,S,E,I,R
Uruzgan,343.25,0.1230215786382827,-1.8144427956197373e-10,-1.8237658015859866e-10,131696.80147842178
Uruzgan,343.5,0.12302157863829263,1.7356265523934875e-10,1.7232221141530996e-10,131696.80147842108
Uruzgan,343.75,0.12302157863830271,5.330708470042066e-10,5.315207608945019e-10,131696.80147842036
Uruzgan,344.0,0.12302157863831288,8.962829399151172e-10,8.94422456723053e-10,131696.80147841963
Uruzgan,344.25,0.12302157863832314,1.2623734250310275e-09,1.260202559764819e-09,131696.8014784189
Uruzgan,344.5,0.12302157863833345,1.6304886402873216e-09,1.628008203303572e-09,131696.80147841817
Uruzgan,344.75,0.12302157863834379,1.999746770495809e-09,1.9969583930429028e-09,131696.80147841742
Uruzgan,345.0,0.12302157863835414,2.369237847344753e-09,2.3661440071062717e-09,131696.8014784167
Uruzgan,345.25,0.12302157863836448,2.738023749398801e-09,2.7346277960369535e-09,131696.80147841596
Uruzgan,345.5,0.12302157863837476,3.105138202099039e-09,3.101444382798092e-09,131696.8014784152
Uruzgan,345.75,0.12302157863838496,3.4695867777630314e-09,3.4656002627726826e-09,131696.80147841448
Uruzgan,346.0,0.12302157863839508,3.830346895584744e-09,3.826073803763574e-09,131696.80147841378
Uruzgan,346.25,0.12302157863840504,4.186367821634548e-09,4.181815245993482e-09,131696.80147841305
Uruzgan,346.5,0.12302157863841486,4.53657066885929e-09,4.5317467021049124e-09,131696.80147841235
Uruzgan,346.75,0.12302157863842447,4.879848397082202e-09,4.874762157160279e-09,131696.80147841165
Uruzgan,347.0,0.12302157863843387,5.2150658130029866e-09,5.2097274686418344e-09,131696.80147841098
Uruzgan,347.25,0.123021578638443,5.5410595701978e-09,5.535480366451693e-09,131696.80147841034
Uruzgan,347.5,0.12302157863845184,5.856638169119101e-09,5.850830452911738e-09,131696.8014784097
Uruzgan,347.75,0.12302157863846035,6.160581957095949e-09,6.154559202763827e-09,131696.8014784091
Uruzgan,348.0,0.1230215786384685,6.4516431283337145e-09,6.4454199631695804e-09,131696.8014784085
Uruzgan,348.25,0.12302157863847626,6.728545723914261e-09,6.722137953710473e-09,131696.80147840796
Uruzgan,348.5,0.12302157863848359,6.989985631795839e-09,6.9834102663878935e-09,131696.80147840743
Uruzgan,348.75,0.12302157863849045,7.23463058681313e-09,7.2279058656229636e-09,131696.80147840697
Uruzgan,349.0,0.12302157863849679,7.461120170677313e-09,7.454265588256823e-09,131696.8014784065
Uruzgan,349.25,0.12302157863850259,7.668065811975932e-09,7.661102143550284e-09,131696.8014784061
Uruzgan,349.5,0.1230215786385078,7.854050786172973e-09,7.847000113184158e-09,131696.80147840572
Uruzgan,349.75,0.12302157863851237,8.017630215608879e-09,8.01051595125904e-09,131696.8014784054
Uruzgan,350.0,0.12302157863851629,8.157331069500476e-09,8.150177984295302e-09,131696.8014784051
Uruzgan,350.25,0.1230215786385195,8.271652163941067e-09,8.264486411233308e-09,131696.80147840487
Uruzgan,350.5,0.12302157863852195,8.359064161900377e-09,8.351913303433147e-09,131696.8014784047
Uruzgan,350.75,0.1230215786385236,8.418009573224537e-09,8.410902604674894e-09,131696.80147840458
Uruzgan,351.0,0.1230215786385244,8.44690275463614e-09,8.439870131158295e-09,131696.80147840452
Uruzgan,351.25,0.12302157863852434,8.444129909734148e-09,8.437203571503102e-09,131696.80147840455
Uruzgan,351.5,0.12302157863852332,8.4080490889941e-09,8.401262486748864e-09,131696.8014784046
Uruzgan,351.75,0.12302157863852134,8.33699018976773e-09,8.330378310354967e-09,131696.80147840476
Uruzgan,352.0,0.12302157863851831,8.229254956283454e-09,8.222854348200653e-09,131696.80147840496
Uruzgan,352.25,0.12302157863851423,8.083116979645972e-09,8.076965778585018e-09,131696.80147840525
Uruzgan,352.5,0.12302157863850902,7.896821697836404e-09,7.890959652227014e-09,131696.80147840563
Uruzgan,352.75,0.12302157863850265,7.669566605142475e-09,7.66403500759356e-09,131696.80147840607
Uruzgan,353.0,0.12302157863849601,7.432765040393778e-09,7.427601557652137e-09,131696.80147840656
Uruzgan,353.25,0.12302157863848956,7.202162673886538e-09,7.197397271683823e-09,131696.801478407
Uruzgan,353.5,0.12302157863848327,6.977706857052686e-09,6.9733627083331544e-09,131696.80147840746
Uruzgan,353.75,0.12302157863847715,6.759341762527204e-09,6.755435596031996e-09,131696.8014784079
Uruzgan,354.0,0.12302157863847121,6.547008384148124e-09,6.543550832999545e-09,131696.8014784083
Uruzgan,354.25,0.12302157863846544,6.3406445369565375e-09,6.33764048724233e-09,131696.80147840874
Uruzgan,354.5,0.12302157863845982,6.140184857196585e-09,6.137633796554212e-09,131696.80147840912
Uruzgan,354.75,0.12302157863845438,5.945560802315461e-09,5.943457168516382e-09,131696.80147840953
Uruzgan,355.0,0.12302157863844909,5.756700650963414e-09,5.755034180497363e-09,131696.8014784099
Uruzgan,355.25,0.12302157863844396,5.573529502993747e-09,5.572285579653008e-09,131696.80147841026
Uruzgan,355.5,0.12302157863843899,5.395969279462813e-09,5.3951292829265045e-09,131696.8014784106
Uruzgan,355.75,0.12302157863843417,5.223938722630022e-09,5.2234803770483676e-09,131696.80147841095
Uruzgan,356.0,0.12302157863842951,5.057353395957835e-09,5.057251118536447e-09,131696.8014784113
Uruzgan,356.25,0.123021578638425,4.896125684111768e-09,4.896350933695921e-09,131696.80147841162
Uruzgan,356.5,0.12302157863842063,4.740164792960388e-09,4.740686418619302e-09,131696.80147841192
Uruzgan,356.75,0.12302157863841641,4.589376749575319e-09,4.590161339186431e-09,131696.80147841224
Uruzgan,357.0,0.12302157863841233,4.443664402231233e-09,4.444676631064484e-09,131696.80147841253
Uruzgan,357.25,0.12302157863840839,4.302927420405864e-09,4.3041303997079625e-09,131696.8014784128
Uruzgan,357.5,0.12302157863840459,4.1670622947799884e-09,4.168417920358706e-09,131696.80147841308
Uruzgan,357.75,0.12302157863840091,4.0359623372374445e-09,4.037431638045881e-09,131696.80147841334
Uruzgan,358.0,0.12302157863839737,3.909517680865121e-09,3.911061167585987e-09,131696.80147841357
Uruzgan,358.25,0.12302157863839396,3.787615279952958e-09,3.789193293582854e-09,131696.80147841384
Uruzgan,358.5,0.12302157863839067,3.6701389099939527e-09,3.6717119704276443e-09,131696.80147841407
Uruzgan,358.75,0.12302157863838749,3.5569691676841546e-09,3.5584983222988516e-09,131696.8014784143
Uruzgan,359.0,0.12302157863838444,3.4479834709226628e-09,3.4494306431623e-09,131696.8014784145
Uruzgan,359.25,0.12302157863838149,3.3430560588116377e-09,3.3443843967711445e-09,131696.8014784147
Uruzgan,359.5,0.12302157863837866,3.2420579916562826e-09,3.2432322166658746e-09,131696.8014784149
Uruzgan,359.75,0.12302157863837593,3.1448571509648625e-09,3.1458439061743064e-09,131696.80147841512
Uruzgan,360.0,0.1230215786383733,3.0513182394486926e-09,3.0520864384115942e-09,131696.8014784153
Uruzgan,360.25,0.12302157863837078,2.9613027810221447e-09,2.9618239562802154e-09,131696.8014784155
Uruzgan,360.5,0.12302157863836835,2.874669120802635e-09,2.874917772469982e-09,131696.80147841567
Uruzgan,360.75,0.123021578638366,2.7912724251106432e-09,2.791226369458042e-09,131696.80147841581
Uruzgan,361.0,0.12302157863836376,2.710964681469699e-09,2.7106053995088683e-09,131696.801478416
Uruzgan,361.25,0.12302157863836158,2.6335946986063823e-09,2.6329076846742688e-09,131696.80147841614
Uruzgan,361.5,0.12302157863835948,2.5590081064503313e-09,2.557983216793382e-09,131696.80147841628
Uruzgan,361.75,0.12302157863835747,2.487047356134232e-09,2.485679157492676e-09,131696.80147841643
Uruzgan,362.0,0.12302157863835551,2.4175517199938305e-09,2.4158398381859535e-09,131696.80147841657
Uruzgan,362.25,0.12302157863835363,2.3503572915679203e-09,2.348306760074346e-09,131696.80147841672
Uruzgan,362.5,0.1230215786383518,2.285296985598352e-09,2.2829185941463176e-09,131696.80147841683
Uruzgan,362.75,0.12302157863835002,2.222200538030026e-09,2.2195111811776622e-09,131696.80147841698
Uruzgan,363.0,0.1230215786383483,2.1608945060108996e-09,2.157917531731508e-09,131696.8014784171
Uruzgan,363.25,0.12302157863834662,2.101202267891982e-09,2.097967826158311e-09,131696.8014784172
Uruzgan,363.5,0.123021578638345,2.0429440232273383e-09,2.0394894145958606e-09,131696.80147841733
Uruzgan,363.75,0.12302157863834338,1.9859367927740786e-09,1.982306816969278e-09,131696.80147841744
Uruzgan,364.0,0.12302157863834182,1.9299944184923766e-09,1.9262417229910156e-09,131696.80147841756
Uruzgan,364.25,0.12302157863834028,1.874927563545455e-09,1.871112992160856e-09,131696.80147841765
Uruzgan,364.5,0.12302157863833875,1.8205437122995896e-09,1.8167366537659112e-09,131696.80147841776
Uruzgan,364.75,0.12302157863833724,1.7666471703241083e-09,1.7629259068806316e-09,131696.80147841788
Uruzgan,365.0,0.12302157863833574,1.7130390643913944e-09,1.7094911203667922e-09,131696.801478418
Paktika,0.0,79367.8265458534,0.0,1.0,14181.257194146601
